Front,Back,Tags,Extra
"What are the three components needed to declare a class variable/field in Java?","Access modifier, Field type, Field name","Variables;Week1;Basics"
"What is the break keyword?","A statement that immediately terminates the nearest enclosing loop or switch statement","Control Flow;Vocabulary;Flow Control"
"What is the continue keyword?","A statement that ends the current iteration and moves to the next iteration of the loop","Control Flow;Vocabulary;Flow Control"
"What is a do-while loop?","A loop that executes the body at least once, then checks the condition","Control Flow;Vocabulary;Loops"
"What is a for-each loop?","An enhanced for loop that iterates through arrays or collections without using indices","Control Flow;Vocabulary;Loops"
"What is if-else?","A conditional statement that executes one branch if condition is true, another if false","Control Flow;Vocabulary;Conditionals"
"What is an iterator?","An object that provides a way to traverse elements in a collection one by one","Control Flow;Vocabulary;Collections"
"What does 'java short-circuits' mean?","Logical operators && and || stop evaluating as soon as the result is determined","Control Flow;Vocabulary;Operators"
"What is labeled break?","A break statement with a label that exits a specific outer loop in nested loops","Control Flow;Vocabulary;Flow Control"
"What is a switch statement?","A multiway branching statement that executes code based on matching case labels","Control Flow;Vocabulary;Conditionals"
"What is the ternary operator?","A compact conditional expression: (condition) ? valueIfTrue : valueIfFalse","Control Flow;Vocabulary;Operators"
"What is a while loop?","A loop that executes only if the condition is true, checked before each iteration","Control Flow;Vocabulary;Loops"
"What is autoboxing?","Automatic conversion from primitive types to their corresponding wrapper class objects","Wrapper Classes;Vocabulary;Conversion"
"What is the DecimalFormat class?","A class for custom number formatting (percentages, scientific notation, fixed decimals)","Formatting;Vocabulary;Classes"
"What is the FileInputStream class?","A class that reads raw byte data from a file","Input;Vocabulary;Classes"
"What is the format() method?","A method used in classes like PrintStream or DecimalFormat to create formatted output","Formatting;Vocabulary;Methods"
"What is a format specifier?","A placeholder in printf() or format() methods that defines how a value should be displayed","Formatting;Vocabulary;Specifiers"
"What is getCurrencyInstance()?","A method from NumberFormat that returns a currency formatter for a locale","Formatting;Vocabulary;Methods"
"What is IntValue?","A method of wrapper classes that converts an object back to its primitive type","Wrapper Classes;Vocabulary;Methods"
"What is Locale?","Represents a specific geographic, political, or cultural region for formatting","Formatting;Vocabulary;Classes"
"What are nextInt(), nextDouble(), etc.?","Scanner methods that read input as specific primitive types from keyboard or files","Input;Vocabulary;Methods"
"What are nextLine() and hasNextLine()?","Scanner methods: nextLine() reads entire line, hasNextLine() checks if another line exists","Input;Vocabulary;Methods"
"What is the NumberFormat class?","A class that formats numbers according to locale, including currencies and percentages","Formatting;Vocabulary;Classes"
"What are print, println, printf?","PrintStream methods: print() writes without newline, println() adds newline, printf() allows formatted output","Output;Vocabulary;Methods"
"What is PrintStream?","A class providing methods like print(), println(), and printf() to write formatted data","Output;Vocabulary;Classes"
"What is the Scanner class?","A class that reads input from keyboard, files, or strings with support for multiple data types","Input;Vocabulary;Classes"
"What is specifier justification and '\n'?","Controls output alignment in printf() and uses \n to move to a new line","Formatting;Vocabulary;Specifiers"
"What is unboxing?","Automatic conversion from wrapper class objects back to their corresponding primitive types","Wrapper Classes;Vocabulary;Conversion"
"What is useDelimiter()?","A Scanner method that changes the pattern used to separate input tokens","Input;Vocabulary;Methods"
"What is valueOf?","A static method in wrapper classes that converts a primitive or string into its corresponding object","Wrapper Classes;Vocabulary;Methods"
"What is wrapping?","Converting a primitive type into its corresponding wrapper class object","Wrapper Classes;Vocabulary;Conversion"
"What is bytecode?","Compiled version of Java code created by javac; platform-independent and runs on JVM","Java Basics;Vocabulary;Compilation"
"What is a class?","Blueprint for creating objects; defines attributes (variables) and behaviors (methods)","Java Basics;Vocabulary;OOP"
"What is an instance variable?","Variables declared inside a class but outside methods; each object has its own copy","Java Basics;Vocabulary;Variables"
"What are Java, javac, and Javadoc?","Java: programming language; javac: compiler; Javadoc: documentation generator","Java Basics;Vocabulary;Tools"
"What is the Java Virtual Machine?","Executes Java bytecode; provides platform independence and handles memory management","Java Basics;Vocabulary;JVM"
"What is a method?","Block of code that performs a task; can accept parameters and return values","Java Basics;Vocabulary;Methods"
"What is an object?","Instance of a class; contains its own values for instance variables","Java Basics;Vocabulary;OOP"
"What is private?","Access modifier that restricts access to class members to only within the same class","Access Control;Vocabulary;Modifiers"
"What is public?","Access modifier that makes class members accessible from anywhere","Access Control;Vocabulary;Modifiers"
"What is a shorthand operator?","Operators like +=, -=, *=, /= that simplify expressions by combining assignment with operation","Operators;Vocabulary;Assignment"
"What are System.out.print and System.out.println?","Methods for console output; print displays without newline, println adds newline","Output;Vocabulary;Methods"
"What is variable casting?","Converting a variable from one type to another (implicit or explicit)","Data Types;Vocabulary;Conversion"
