Front,Back,Tags,Extra
"What is an anonymous class?","A class without a name that is defined and instantiated at the same time","Anonymous Class;Lesson5;Advanced"
"What is the syntax for anonymous classes?","new ClassName() { /* class body */ }","Anonymous Class;Lesson5;Syntax"
"What are use cases for anonymous classes?","Event handlers, one-time implementations","Anonymous Class;Lesson5;Use Cases"
"Can anonymous classes have constructors?","No, anonymous classes cannot have constructors","Anonymous Class;Lesson5;Limitations"
"What is a lambda expression?","A concise way to represent an anonymous function","Lambda;Lesson5;Advanced"
"What is the basic syntax for lambda expressions?","(parameters) -> expression or (parameters) -> { statements }","Lambda;Lesson5;Syntax"
"What are use cases for lambda expressions?","Functional interfaces, collections processing","Lambda;Lesson5;Use Cases"
"What is a privacy leak?","When private data becomes accessible outside the class","Privacy;Lesson5;Leaks"
"What is a common cause of privacy leaks?","Returning references to private objects instead of copies","Privacy;Lesson5;Causes"
"How do you prevent privacy leaks?","Return copies of objects, not references","Privacy;Lesson5;Prevention"
"What is a class invariant?","A statement that is always true for every object of the class","Class Design;Lesson5;Invariants"
"How do class invariants help in design?","They help define a class in a consistent and organized way","Class Design;Lesson5;Invariants"
"What is a copy constructor?","A constructor that creates a new object by copying another object of the same class","Copy Constructor;Lesson5;Constructors"
"What is the purpose of a copy constructor?","To create independent copies of objects","Copy Constructor;Lesson5;Purpose"
"What is the difference between deep and shallow copy?","Deep copy copies all referenced objects too; shallow copy only copies the object itself","Copy Constructor;Lesson5;Deep vs Shallow"
"What is defensive copying?","Returning copies instead of original references to prevent privacy leaks","Privacy;Lesson5;Defensive Copying"
"What are immutable objects?","Objects that cannot be modified after creation","Privacy;Lesson5;Immutable"
"Should getter methods return copies of mutable objects?","Yes, to prevent privacy leaks","Privacy;Lesson5;Getters"
"What is an array?","A collection of elements of the same type with fixed size","Arrays;Lesson6;Basics"
"How do you declare an array?","type[] arrayName; or type arrayName[];","Arrays;Lesson6;Declaration"
"How do you create an array?","arrayName = new type[size];","Arrays;Lesson6;Creation"
"How do you declare and create an array in one line?","type[] arrayName = new type[size];","Arrays;Lesson6;Combined"
"How do you initialize an array with values?","type[] arrayName = {value1, value2, ...};","Arrays;Lesson6;Initialization"
"How do you access an array element?","arrayName[index]","Arrays;Lesson6;Access"
"What is the index range for arrays?","0 to (length - 1)","Arrays;Lesson6;Indexing"
"Do array variables hold the actual array?","No, they hold references to array objects","Arrays;Lesson6;References"
"What happens when you assign one array to another?","Both variables reference the same array","Arrays;Lesson6;Assignment"
"How do you get the length of an array?","arrayName.length","Arrays;Lesson6;Length"
"Does Java check array bounds?","Yes, Java checks array bounds at runtime","Arrays;Lesson6;Bounds"
"What happens if you access an invalid array index?","ArrayIndexOutOfBoundsException is thrown","Arrays;Lesson6;Exceptions"
"What are command line arguments?","Arguments passed to the main method from the command line","Main Method;Lesson6;Arguments"
"What is the signature of the main method?","public static void main(String[] args)","Main Method;Lesson6;Signature"
"How do you access the first command line argument?","args[0]","Main Method;Lesson6;Access"
"How do you get the number of command line arguments?","args.length","Main Method;Lesson6;Count"
"What is a partially filled array?","An array that is not completely filled with elements","Partially Filled;Lesson6;Arrays"
"How do you track the actual number of elements in a partially filled array?","Use a separate variable to track the count","Partially Filled;Lesson6;Tracking"
"What is an ArrayList?","A dynamic array that can grow and shrink in size","ArrayList;Lesson6;Basics"
"How do you import ArrayList?","import java.util.ArrayList;","ArrayList;Lesson6;Import"
"How do you create an ArrayList?","ArrayList<Type> list = new ArrayList<>();","ArrayList;Lesson6;Creation"
"How do you add an element to the end of an ArrayList?","list.add(element)","ArrayList;Lesson6;Methods"
"How do you add an element at a specific index in ArrayList?","list.add(index, element)","ArrayList;Lesson6;Methods"
"How do you get an element from an ArrayList?","list.get(index)","ArrayList;Lesson6;Methods"
"How do you replace an element in an ArrayList?","list.set(index, element)","ArrayList;Lesson6;Methods"
"How do you remove an element from an ArrayList?","list.remove(index)","ArrayList;Lesson6;Methods"
"How do you get the size of an ArrayList?","list.size()","ArrayList;Lesson6;Methods"
"How do you remove all elements from an ArrayList?","list.clear()","ArrayList;Lesson6;Methods"
"What are variable arguments (varargs)?","Method parameters that accept a variable number of arguments","Varargs;Lesson6;Basics"
"What is the syntax for varargs?","methodName(Type... parameterName)","Varargs;Lesson6;Syntax"
"How are varargs treated inside the method?","As an array","Varargs;Lesson6;Usage"
"What are limitations of varargs?","Only one varargs parameter per method, must be last parameter","Varargs;Lesson6;Limitations"
"What is an enumerated type (enum)?","A special class representing a group of constants","Enums;Lesson6;Basics"
"What is the syntax for creating an enum?","enum EnumName { VALUE1, VALUE2, VALUE3 }","Enums;Lesson6;Syntax"
"How do you use an enum value?","EnumName.VALUE1","Enums;Lesson6;Usage"
"What are some enum methods?","values(), valueOf(), ordinal()","Enums;Lesson6;Methods"
"What are benefits of using enums?","Type safety, prevents invalid values","Enums;Lesson6;Benefits"
"What is a multidimensional array?","An array with more than one index","Multidimensional;Lesson6;Basics"
"How do you declare a 2D array?","type[][] arrayName;","Multidimensional;Lesson6;Declaration"
"How do you create a 2D array?","arrayName = new type[rows][columns];","Multidimensional;Lesson6;Creation"
"How do you access a 2D array element?","arrayName[row][column]","Multidimensional;Lesson6;Access"
"How do you visualize a 2D array?","First index = row, second index = column","Multidimensional;Lesson6;Visualization"
"How do you get the number of rows in a 2D array?","arrayName.length","Multidimensional;Lesson6;Length"
"How do you get the number of columns in a specific row?","arrayName[row].length","Multidimensional;Lesson6;Length"
"What do you use to process 2D arrays?","Nested for loops","Multidimensional;Lesson6;Processing"
"What is a ragged array?","A 2D array where rows have different lengths","Multidimensional;Lesson6;Ragged"
"How do you create a ragged array?","Create rows separately with different sizes","Multidimensional;Lesson6;Ragged Creation"
"What are use cases for ragged arrays?","When data naturally has varying row lengths","Multidimensional;Lesson6;Ragged Use Cases"
"How do you specify 2D array parameters?","methodName(type[][] parameter)","Multidimensional;Lesson6;Parameters"
"How do you specify 2D array return types?","type[][] methodName()","Multidimensional;Lesson6;Return Types"
"What is the difference between arrays and ArrayList?","Arrays have fixed size, ArrayList can grow/shrink","Comparison;Lesson6;Arrays vs ArrayList"
"When should you use arrays vs ArrayList?","Use arrays for fixed size, ArrayList for dynamic size","Comparison;Lesson6;When to Use"
"Can you change the size of an array after creation?","No, array size is fixed after creation","Arrays;Lesson6;Fixed Size"
"Can you change the size of an ArrayList after creation?","Yes, ArrayList can grow and shrink dynamically","ArrayList;Lesson6;Dynamic Size"
"What happens when you add elements beyond ArrayList capacity?","ArrayList automatically increases its capacity","ArrayList;Lesson6;Capacity"
"Is ArrayList more memory efficient than arrays?","No, ArrayList has overhead due to dynamic resizing","Comparison;Lesson6;Memory Efficiency"
"Can ArrayList store primitive types directly?","No, only object types (use wrapper classes for primitives)","ArrayList;Lesson6;Primitives"
"Can arrays store primitive types directly?","Yes, arrays can store primitive types directly","Arrays;Lesson6;Primitives"
"What is the default value for array elements?","0 for numbers, false for boolean, null for objects","Arrays;Lesson6;Default Values"
"What is the default value for ArrayList elements?","No default values, elements must be explicitly added","ArrayList;Lesson6;Default Values"
